서비스_업종,2018_분기당_매출_금액,2019_분기당_매출_금액,2020_분기당_매출_금액,2019~2020_증감액,2019~2020_증감율
가구,438503669,250340496,322393843,72053347,28.78213799
가방,12323090805,9801993410,6478807153,-3323186257,-33.90316763
가전제품수리,58386536,50865191,78905434,28040243,55.12658549
골프연습장,187502355,171025279,143908406,-27116873,-15.85547655
네일숍,1091461425,496245550,27416285,-468829265,-94.47525827
노래방,1970508527,1734198203,649296072,-1084902131,-62.55929277
당구장,162780416,97003460,75099294,-21904166,-22.58080897
문구,381356286,102528648,77209260,-25319388,-24.6949399
미용실,5351756138,4086098950,2946972841,-1139126109,-27.87808428
반찬가게,806068790,2943260178,4846470342,1903210164,64.66333416
분식전문점,6847803070,8387272467,5427312544,-2959959923,-35.29109057
서적,9450744873,8441034608,8520969013,79934405,0.946974023
섬유제품,103509767,130212311,273014644,142802333,109.6688415
세탁소,348241325,537707906,554992803,17284897,3.214551396
수산물판매,4657500,1777500,1676250,-101250,-5.696202532
슈퍼마켓,63974817768,64256347834,39810234877,-24446112957,-38.04466606
스포츠클럽,2518481161,1700419791,1574018379,-126401412,-7.433541568
시계및귀금속,6555871572,2833491403,3081666005,248174602,8.758614963
신발,15787447112,20328348932,50935945043,30607596111,150.5660701
안경,2321224200,1838476253,676661275,-1161814978,-63.19445117
애완동물,19330582,29448602,12823693,-16624909,-56.45398379
양식음식점,2.16166E+11,1.68523E+11,98821488223,-69701960117,-41.36039275
여관,4256331022,3430219963,1558670348,-1871549615,-54.56062979
예술학원,1291594641,1033101099,567754534,-465346565,-45.04366179
운동/경기용품,26440571148,17339304237,15441617013,-1897687224,-10.94442544
육류판매,3876129323,9632891266,11711231670,2078340404,21.57545795
의약품,3326350424,3181510660,2955673905,-225836755,-7.098412645
일반의류,1.1392E+11,97522136486,67459169946,-30062966540,-30.82681289
일반의원,2812036719,3098456508,2625208736,-473247772,-15.27366193
일식음식점,21700423448,8506860813,4418562135,-4088298678,-48.0588406
자동차미용,72848253,77114311,109210229,32095918,41.62122125
전자상거래업,400765094,2885199966,1670335537,-1214864429,-42.10676706
제과점,12322755145,9694629091,4887246195,-4807382896,-49.58810544
조명용품,237955739,267309795,131115617,-136194178,-50.94993919
중식음식점,16775646932,13675986182,5507971292,-8168014890,-59.72523503
철물점,159925941,127911452,133291612,5380160,4.206159742
치과의원,4130584254,3357742305,2858209065,-499533240,-14.8770571
치킨전문점,2118738812,497190046,414467340,-82722706,-16.63804548
커피-음료,55296967284,37174849535,33503875477,-3670974058,-9.874886123
패스트푸드점,29178026327,20462076472,8516306013,-11945770459,-58.38004992
편의점,52428919008,48322726669,33736658486,-14586068183,-30.18469608
피부관리실,745756216,366755716,210658796,-156096920,-42.5615507
한식음식점,1.1382E+11,1.04035E+11,58734601340,-45300591690,-43.54352635
한의원,1052486607,953428468,496547817,-456880651,-47.91976182
핸드폰,840381429,317292921,265496562,-51796359,-16.32446095
호프-간이주점,1.14275E+11,70610631081,33579955015,-37030676066,-52.44348549
화장품,48559837046,34831335863,15584136014,-19247199849,-55.2582879
화초,1840538782,1057812647,670998524,-386814123,-36.56735662
